original_filename,source_folder,relative_path,id3_title,id3_artist,id3_album,resolved_title,resolved_artist,resolved_album,title_source,artist_source,album_source,title_confidence,artist_confidence,metadata_status,duration_seconds,bitrate,sample_rate,file_hash,file_size,has_cover,normalized_title,normalized_artist,duplicate_status,duplicate_group,duplicate_confidence,review_reason
A Galera Do Chapéu - Ao Vivo - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/A Galera Do Chapéu - Ao Vivo - Gino & Geno.mp3,A Galera Do Chapéu - Ao Vivo,Gino & Geno,,A Galera Do Chapéu - Ao Vivo,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,195,192000,44100,097f6c3c9a0b4264ccc2b612c2abecb932862bd52f3d9b7566c78e802977fdbb,4737761,true,a galera do chapeu ao vivo,gino e geno,UNIQUE,,0,
A Mulher E A Bebida - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/A Mulher E A Bebida - Gino & Geno.mp3,A Mulher E A Bebida,Gino & Geno,,A Mulher E A Bebida,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,240,192000,44100,ce98441145bac2877d4701d9c6c8ba780454a720a41338cbd88c1d2c3c23429e,5816381,true,a mulher e a bebida,gino e geno,UNIQUE,,0,
Acidente De Amor - Ao Vivo - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/Acidente De Amor - Ao Vivo - Gino & Geno.mp3,Acidente De Amor - Ao Vivo,Gino & Geno,,Acidente De Amor - Ao Vivo,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,238,192000,44100,1365724cbec5c6c31bef016be11f67aeba60c59f62624aee63659505ccb319fe,5768849,true,acidente de amor ao vivo,gino e geno,UNIQUE,,0,
Agita Aí - Ao Vivo - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/Agita Aí - Ao Vivo - Gino & Geno.mp3,Agita Aí - Ao Vivo,Gino & Geno,,Agita Aí - Ao Vivo,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,199,192000,44100,4be42d7d3dc935409a7b0cd26508b708fc39d37556b24ff138d53ce5d107dc52,4849448,true,agita ai ao vivo,gino e geno,UNIQUE,,0,
Aí É Só Bebendo - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/Aí É Só Bebendo - Gino & Geno.mp3,Aí É Só Bebendo,Gino & Geno,,Aí É Só Bebendo,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,196,192000,44100,8dd08ef6c41e9c34d55387fec268406d05da0f69533748dcbea610d6fc3f0bce,4748319,true,ai e so bebendo,gino e geno,UNIQUE,,0,
"Arrependida - Ao Vivo - Gino & Geno, Matao, Monteiro.mp3",01 - Gino e Geno,"01 - Gino e Geno/Arrependida - Ao Vivo - Gino & Geno, Matao, Monteiro.mp3",Arrependida - Ao Vivo,"Gino & Geno, Matao, Monteiro",,Arrependida - Ao Vivo,"Gino & Geno, Matao, Monteiro",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,200,192000,44100,38c27331de11d0317ea5e68cf748db754375fbc89ddd4a6780a6c983ff5c7d48,4865805,true,arrependida ao vivo,gino e geno matao monteiro,UNIQUE,,0,
Bebo Pa Carai - Ao Vivo - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/Bebo Pa Carai - Ao Vivo - Gino & Geno.mp3,Bebo Pa Carai - Ao Vivo,Gino & Geno,,Bebo Pa Carai - Ao Vivo,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,224,192000,44100,b2ea25c6eb7b7eccfbabb0f026366caa82d7ba79103bd9aac64f7f604f8b8ac8,5442510,true,bebo pa carai ao vivo,gino e geno,UNIQUE,,0,
Bebo Pa Carai - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/Bebo Pa Carai - Gino & Geno.mp3,Bebo Pa Carai,Gino & Geno,,Bebo Pa Carai,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,224,192000,44100,4a08f79bf0274fffaedb61835345baa59263d4f3155cd210fc8338743dd1d6fa,5429160,true,bebo pa carai,gino e geno,UNIQUE,,0,
Bola Da Vez - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/Bola Da Vez - Gino & Geno.mp3,Bola Da Vez,Gino & Geno,,Bola Da Vez,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,194,192000,44100,98e18717ad809cbbb8a00b0a3d5f8426ce3fb70d84216069d383b17ecbc1bf20,4702937,true,bola da vez,gino e geno,UNIQUE,,0,
Cara Boa - Gino & Geno.mp3,01 - Gino e Geno,01 - Gino e Geno/Cara Boa - Gino & Geno.mp3,Cara Boa,Gino & Geno,,Cara Boa,Gino & Geno,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,207,192000,44100,330f93ec03eca9a5fd95caacd74852aaef3bdfed36135329d1549b5f55692a90,5016840,true,cara boa,gino e geno,UNIQUE,,0,
